Food-Name,"Energy-
-kJ","Protein-
-g","Fat
-g","carbohydrate
-g",sugars-g,"Sodium-Na-
-mg","Zinc-Zn-
-mg","Folate
-ug","Pyridoxine-B6-
-mg","Cobalamin-B12-
-ug","Vitamin-D3
-ug","Vitamin-C-
-mg","Vitamin-A
-ug","Iron-Fe-
-mg","Calcium-Ca-
-mg","Selenium-Se-
-ug",per-100g
"Soft drink, cola flavour, intense sweetened or diet",0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,per 100g
"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,per 100g
"Soft drink, energy drink, Red Bull",182,0.1,0,10.8,10.8,71,0,0,2.27,2,0,0,0,0,9,0,per 100g
"Soft drink, energy drink, V",182,0.1,0,10.8,10.8,110,0,0,2.5,0.6,0,0,0,0,9,0,per 100g
"Soft drink, fruit flavours",142,0,0,8.8,8.8,14,0,0,0,0,0,0,0,0,2,0,per 100g
"Soft drink, fruit flavours, intense sweetened or diet",1,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,per 100g
"Kombucha, flavoured, added juice or intense sweeteners",28,0,0,0.9,0.8,0,0,0,0,0,0,0,0,0,0,0,per 100g
"Soft drink, tonic water",142,0,0,8.8,8.8,12,0.1,0,0,0,0,0,0,0.01,1,0,per 100g
"Soft drink, tonic water, intense sweetened or diet",1,0,0,0,0,12,0.1,0,0,0,0,0,0,0.01,1,0,per 100g
"Tea, green, plain, without milk",7,0.2,0.1,0,0,1,0.05,0,0,0,0,0,0,0,3,0,per 100g
"Tea, regular, black, brewed from leaf or teabags, without milk",1,0.1,0,0,0,0,0.01,4,0,0,0,0,0,0,1,0,per 100g
"Tea, decaffeinated, black, brewed from leaf or teabags, without milk",6,0.1,0.1,0,0,0,0,11,0,0,0,0,0,0,0,0,per 100g
"Water, bottled, still",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,per 100g
"Water, tap",0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,per 100g
"Water, soda",0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,per 100g
"Biscuit, savoury, rice cracker, plain","1,626",7,4.3,78.8,0.7,400,1.4,0,0,0,0,0,0,0.41,7,5.5,per 100g
"Biscuit, savoury, rice cracker, flavoured (excluding seaweed)","1,646",7.1,6.7,74.1,0.2,554,1.38,0,0,0,0,0,6,0.52,19,4.2,per 100g
"Biscuit, savoury, rice cracker, seaweed flavoured","1,500",9.6,1.2,75.3,1.7,660,1.4,29,0.04,0,0,0,0,1.1,21,6.2,per 100g
"Biscuit, savoury, rice cracker, added vegetable powder","1,651",6.6,7.4,73.8,4.9,470,1.3,33,0,0,0,0,18,0.68,23,3.4,per 100g
"Biscuit, savoury, from white wheat flour, cheese-flavoured","2,086",12,24.2,56.4,3.2,871,1.01,88,0.06,0.1,0,5,28,1.26,93,15.4,per 100g
"Biscuit, savoury, from white wheat flour, flavoured (excluding cheese)","2,098",9.6,24.5,59.7,5.2,854,0.86,60,0.05,0.1,0,4,1,1.37,56,13.7,per 100g
"Biscuit, savoury, from white wheat flour, plain snack cracker style","2,058",8.1,20.7,66.3,6.7,609,0.81,29,0.04,0,0,6,0,1.12,41,17.4,per 100g
"Biscuit, savoury, from wheat flour, crispbread, puffed & toasted","1,563",12.3,5.6,66.1,3.6,380,1.1,28,0,0,0,0,40,1.3,44,26,per 100g
"Biscuit, savoury, from white wheat flour, Salada style","1,785",9.2,14.2,63.1,1.2,830,0.91,16,0,0,0,0,5,2.97,152,13.4,per 100g
"Biscuit, savoury, from white wheat flour, water cracker style","1,650",10.4,7.2,69.4,2,560,0.77,14,0,0,0,0,2,1.5,46,12.2,per 100g
